kappa,policy,alpha,delta,mean_profit,ci_low,ci_high,p_loss,mean_loss_given_loss,diff_vs_bh,diff_ci_low,diff_ci_high,beats_bh
0.7,Buy-and-hold,,,-0.0041457566609958306,-0.010959691227111698,0.002668177905120037,0.60385,-0.40032317881652696,0.0,0.0,0.0,False
0.7,Never-trade,,,0.0,0.0,0.0,0.0,,0.0041457566609958306,-0.002668177905120037,0.010959691227111698,False
1.0,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.04732627315150381,0.0405197300014215,0.054132816301586124,0.60105,-0.3515118875464779,0.048391085600800465,0.04776023944285214,0.04902193175874879,True
1.0,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.06544316194647218,0.05864159858596183,0.07224472530698253,0.60105,-0.3330642683614159,0.06650797439576883,0.06584185173852607,0.0671740970530116,True
1.0,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.0892815957094767,0.08293914742668843,0.09562404399226498,0.53875,-0.28492148005770007,0.09034640815877336,0.08768723614056813,0.09300558017697859,True
1.0,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.044613020364525836,0.037807649475808086,0.05141839125324359,0.60105,-0.3542229604520596,0.04567783281382249,0.04498639495292064,0.04636927067472434,True
1.0,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.07035232724457818,0.06355744746394801,0.07714720702520836,0.60105,-0.3277411671243051,0.07141713969387484,0.0706585963671291,0.07217568302062058,True
1.0,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.05294636936488005,0.048454645072437096,0.057438093657323004,0.2641,-0.2589714156319722,0.054011181814176704,0.04869661452476157,0.05932574910359184,True
1.0,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.04994548215372859,0.04313989770110942,0.056751066606347766,0.60105,-0.34884955857953814,0.05101029460302524,0.05023708603033404,0.051783503175716436,True
1.0,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.0850327468535292,0.0787012438889966,0.0913642498180618,0.52685,-0.2948917173540618,0.08609755930282585,0.0833993319230834,0.08879578668256831,True
1.0,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,0.000133067603395755,-0.00016187242703717206,0.00042800763382868203,0.0014,-0.2386655268634259,0.0011978800526924072,-0.00562103691680802,0.008016797022192835,False
1.0,Buy-and-hold,,,-0.0010648124492966527,-0.007889127658696166,0.0057595027601028605,0.60105,-0.400156052190895,0.0,0.0,0.0,False
1.0,Never-trade,,,0.0,0.0,0.0,0.0,,0.0010648124492966527,-0.0057595027601028605,0.007889127658696166,False
