sigma_p,policy,alpha,delta,mean_profit,ci_low,ci_high,p_loss,mean_loss_given_loss,diff_vs_bh,diff_ci_low,diff_ci_high,beats_bh
0.12,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.10461289676137542,0.09769887812330148,0.11152691539944935,0.5984,-0.2968456427695257,0.10308950215675973,0.10162211058860515,0.10455689372491431,True
0.12,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.121434830400854,0.11452868133784361,0.12834097946386439,0.5984,-0.2799607790848062,0.11991143579623831,0.11848846931046401,0.1213344022820126,True
0.12,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.15310498415184812,0.14621206051839855,0.15999790778529768,0.5984,-0.2483006194821052,0.15158158954723241,0.15020235513126654,0.1529608239631983,True
0.12,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.09317264858777766,0.0862664447066905,0.10007885246886482,0.5984,-0.30806246167435186,0.09164925398316195,0.09001220182110004,0.09328630614522387,True
0.12,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.11425647189021387,0.1073535183628442,0.12115942541758355,0.5984,-0.2874151251940041,0.11273307728559821,0.11114136232456827,0.11432479224662816,True
0.12,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.15835434497891296,0.1514783709680195,0.16523031898980642,0.5984,-0.24264921025223754,0.1568309503742973,0.1552472520591146,0.15841464868948002,True
0.12,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.08951230659345745,0.08260499508332839,0.09641961810358651,0.5984,-0.3117275775289948,0.08798891198884176,0.08620343099235928,0.08977439298532425,True
0.12,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.1297576741865052,0.12286232032662235,0.13665302804638804,0.5984,-0.27165883539628854,0.1282342795818895,0.1264654487083111,0.13000311045546786,True
0.12,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,0.20757669762928116,0.20076340435956627,0.21438999089899605,0.5916,-0.18916514307294818,0.20605330302466546,0.20401660413801267,0.20809000191131824,True
0.12,Buy-and-hold,,,0.001523394604615687,-0.0054893696807957505,0.008536158890027125,0.5984,-0.4013350278793404,0.0,0.0,0.0,False
0.12,Never-trade,,,0.0,0.0,0.0,0.0,,-0.001523394604615687,-0.008536158890027125,0.0054893696807957505,False
